Income,Food,Travel,Shopping,Bills,Entertainment,Savings,Risk_Level
73125,3770,4962,6363,4984,2077,50969,Low
38427,11580,4037,9901,7858,2848,2203,High
52928,7719,3814,5374,6278,2252,27491,Low
69764,7673,3122,6530,5150,5859,41430,Low
69649,9949,2329,8241,9941,2358,36831,Low
53386,13674,5542,3331,7344,5261,18234,Medium
61703,12550,6115,6637,7854,4177,24370,Medium
73088,5180,5892,9043,3137,4472,45364,Low
51833,5832,4579,7971,6031,5164,22256,Medium
57169,10941,6569,6300,9269,4818,19272,Medium
42015,4906,1760,9830,9991,4445,11083,Medium
52415,10687,1899,11911,3280,4266,20372,Medium
48271,6266,1666,6188,3671,2969,27511,Low
58732,9777,4122,9570,8124,6585,20554,Medium
75659,7777,4900,8677,8524,1523,44258,Low
48777,14309,3593,11945,8932,3296,6702,High
52574,8240,3261,8493,7202,3878,21500,Medium
34432,13247,5720,3276,8811,3766,1000,High
30302,3638,1055,10717,7569,5123,2200,High
38150,5125,4287,2364,9809,5621,10944,Medium
45034,8126,6122,3646,3918,3797,19425,Medium
68638,4531,4345,9673,9949,2906,37234,Low
65854,11152,6750,10905,4062,2976,30009,Medium
59926,9229,1125,6632,9288,4596,29056,Medium
74243,9168,2603,9561,3066,1232,48613,Low
56734,9371,5206,11685,9177,5718,15577,Medium
37943,9891,3472,4739,8401,2761,8679,High
40167,13554,1876,5812,6448,2312,10165,Medium
57285,13516,2733,3605,8622,3563,25246,Medium
41613,9986,4517,5735,5870,2160,13345,Medium
43046,11434,3590,3063,7324,3595,14040,Medium
39111,8342,1005,9489,3467,6851,9957,Medium
58746,11195,6966,10837,3117,3928,22703,Medium
76685,5551,6042,7560,7289,1846,48397,Low
40954,9316,6764,8469,8529,2141,5735,High
56386,11915,1224,6208,9283,5654,22102,Medium
32048,9233,5749,11765,4828,2917,1000,High
50618,9988,3026,5744,3901,5785,22174,Medium
30009,3260,2673,4219,5060,6287,8510,Medium
64387,11512,2342,4832,5824,2994,36883,Low
57534,13230,4490,11310,4604,5027,18873,Medium
30235,13161,5429,3908,3375,4530,1000,High
35256,5635,2570,4560,8415,4391,9685,Medium
73925,14835,6951,7468,6850,1872,35949,Medium
60523,9941,2314,6820,9148,3898,28402,Medium
53930,3077,3621,6227,3600,6868,30537,Low
47449,5136,3449,11510,7711,4597,15046,Medium
69711,14954,6984,7142,7670,3190,29771,Medium
39184,5712,3192,3248,6054,5598,15380,Medium
48381,6687,3151,6018,6110,2970,23445,Medium
71157,8765,3626,3202,9697,6567,39300,Low
45374,8742,6788,7408,5035,1477,15924,Medium
39446,3922,1419,4204,5597,2120,22184,Low
74028,3950,3336,7373,5243,3645,50481,Low
62265,7612,6754,3865,5912,6237,31885,Low
53710,9371,6996,8359,9158,4228,15598,Medium
50103,14420,3371,4891,6756,5225,15440,Medium
78538,3094,3674,8898,4955,1793,56124,Low
64884,8779,5106,8166,3814,1345,37674,Low
40541,11554,3443,9783,6005,4281,5475,High
47368,10790,2639,2827,5730,4531,20851,Medium
69915,7451,6443,5876,8959,1126,40060,Low
57632,11795,4449,8024,8109,5146,20109,Medium
